Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
WAS,WAS @ LVA,08/05/2019,W,40,99,40,73,54.8,10,29,34.5,9,13,69.2,11,26,37,28,9,4,5,17,29,
LVA,LVA vs. WAS,08/05/2019,L,40,70,28,72,38.9,6,13,46.2,8,9,88.9,9,17,26,22,11,3,1,17,-29,
NYL,NYL vs. CON,08/04/2019,L,40,79,31,71,43.7,4,22,18.2,13,15,86.7,8,25,33,20,17,4,5,21,-15,
CON,CON @ NYL,08/04/2019,W,40,94,32,69,46.4,11,26,42.3,19,25,76.0,9,26,35,25,11,11,3,15,15,
WAS,WAS @ PHO,08/04/2019,L,40,82,32,74,43.2,6,20,30.0,12,13,92.3,10,21,31,23,7,4,3,15,-21,
SEA,SEA @ LAS,08/04/2019,L,40,75,30,70,42.9,9,19,47.4,6,6,100,8,20,28,21,19,11,0,19,-8,
PHO,PHO vs. WAS,08/04/2019,W,40,103,39,67,58.2,12,24,50.0,13,13,100,4,28,32,28,11,4,5,16,21,
LAS,LAS vs. SEA,08/04/2019,W,40,83,32,61,52.5,6,20,30.0,13,15,86.7,5,26,31,23,17,10,5,12,8,
LVA,LVA @ DAL,08/03/2019,W,40,75,24,60,40.0,7,16,43.8,20,29,69.0,8,27,35,14,19,7,2,9,5,
DAL,DAL vs. LVA,08/03/2019,L,40,70,27,70,38.6,10,18,55.6,6,8,75.0,7,20,27,18,14,11,6,21,-5,
CHI,CHI @ ATL,08/03/2019,W,40,87,34,69,49.3,11,25,44.0,8,10,80.0,5,34,39,29,20,7,6,15,12,
IND,IND vs. MIN,08/03/2019,W,40,86,34,71,47.9,7,23,30.4,11,11,100,10,18,28,22,18,10,2,17,11,
ATL,ATL vs. CHI,08/03/2019,L,40,75,26,75,34.7,8,28,28.6,15,21,71.4,8,27,35,12,14,11,5,14,-12,
MIN,MIN @ IND,08/03/2019,L,40,75,31,63,49.2,2,11,18.2,11,13,84.6,6,18,24,20,22,9,2,21,-11,
SEA,SEA vs. WAS,08/02/2019,L,40,79,30,76,39.5,3,22,13.6,16,20,80.0,11,18,29,20,7,8,4,14,-20,
WAS,WAS @ SEA,08/02/2019,W,40,99,34,62,54.8,13,22,59.1,18,19,94.7,7,31,38,23,15,3,5,17,20,
CON,CON vs. PHO,08/01/2019,W,40,68,26,71,36.6,5,17,29.4,11,14,78.6,12,28,40,18,16,13,0,15,6,
PHO,PHO @ CON,08/01/2019,L,40,62,25,63,39.7,5,20,25.0,7,9,77.8,6,23,29,15,18,8,9,11,-6,
LVA,LVA @ LAS,08/01/2019,L,40,68,25,71,35.2,5,17,29.4,13,17,76.5,10,29,39,17,15,7,4,13,-8,
NYL,NYL @ DAL,08/01/2019,L,40,64,20,57,35.1,4,13,30.8,20,25,80.0,6,21,27,15,22,10,2,26,-23,
LAS,LAS vs. LVA,08/01/2019,W,40,76,30,71,42.3,9,26,34.6,7,7,100,5,28,33,19,14,7,7,18,8,
DAL,DAL vs. NYL,08/01/2019,W,40,87,30,64,46.9,7,22,31.8,20,24,83.3,9,24,33,24,18,13,6,21,23,
ATL,ATL @ IND,07/31/2019,L,40,59,22,76,28.9,5,23,21.7,10,15,66.7,12,32,44,17,16,7,5,21,-2,
IND,IND vs. ATL,07/31/2019,W,40,61,20,65,30.8,2,16,12.5,19,26,73.1,7,36,43,14,16,11,4,17,2,
DAL,DAL @ LVA,07/30/2019,L,40,54,18,63,28.6,6,20,30.0,12,20,60.0,10,29,39,11,19,4,4,22,-32,
LVA,LVA vs. DAL,07/30/2019,W,40,86,30,64,46.9,8,13,61.5,18,23,78.3,5,36,41,27,10,13,4,14,32,
PHO,PHO @ WAS,07/30/2019,L,40,93,35,68,51.5,9,23,39.1,14,15,93.3,3,23,26,29,11,4,3,17,-6,
CHI,CHI @ CON,07/30/2019,L,40,94,33,73,45.2,10,29,34.5,18,23,78.3,8,23,31,26,14,6,3,20,-6,
WAS,WAS vs. PHO,07/30/2019,W,40,99,40,75,53.3,11,28,39.3,8,10,80.0,10,23,33,21,9,6,4,13,6,
CON,CON vs. CHI,07/30/2019,W,40,100,37,74,50.0,10,25,40.0,16,21,76.2,10,27,37,29,16,6,4,22,6,
MIN,MIN vs. WAS,07/24/2019,L,40,71,30,69,43.5,7,18,38.9,4,4,100,12,26,38,19,20,8,3,14,-8,
CON,CON vs. NYL,07/24/2019,W,40,70,27,76,35.5,6,17,35.3,10,17,58.8,13,31,44,19,12,8,2,18,7,
