CHA,CHA @ IND,08/09/2000,L,40,51,19,62,30.6,1,8,12.5,12,15,80.0,13,21,34,11,16,6,2,21,-16,
PHO,PHO @ POR,08/09/2000,W,40,68,25,54,46.3,3,7,42.9,15,17,88.2,11,20,31,14,20,9,4,24,8,
ORL,ORL @ MIA,08/09/2000,L,50,64,27,69,39.1,6,18,33.3,4,6,66.7,19,21,40,13,21,5,1,19,-4,
POR,POR vs. PHO,08/09/2000,L,40,60,20,59,33.9,4,18,22.2,16,24,66.7,11,16,27,15,14,8,2,21,-8,
HOU,HOU vs. MIN,08/09/2000,W,40,77,25,53,47.2,1,15,6.7,26,31,83.9,12,19,31,16,20,19,2,14,13,
CLE,CLE @ WAS,08/09/2000,L,40,48,20,55,36.4,5,12,41.7,3,4,75.0,11,21,32,12,23,9,0,11,-12,
UTA,UTA vs. LAS,08/09/2000,W,40,89,29,62,46.8,7,11,63.6,24,30,80.0,14,21,35,19,8,6,6,21,12,
LAS,LAS @ UTA,08/09/2000,L,40,77,28,60,46.7,6,14,42.9,15,20,75.0,10,20,30,14,12,5,1,21,-12,
WAS,WAS vs. CLE,08/09/2000,W,40,60,26,57,45.6,1,8,12.5,7,11,63.6,7,20,27,15,13,19,3,10,12,
MIA,MIA vs. ORL,08/09/2000,W,50,68,23,67,34.3,3,9,33.3,19,24,79.2,16,23,39,16,14,15,3,19,4,
IND,IND vs. CHA,08/09/2000,W,40,67,21,56,37.5,6,18,33.3,19,28,67.9,10,26,36,18,13,9,5,14,16,
SAC,SAC vs. SEA,08/09/2000,W,40,79,30,61,49.2,5,10,50.0,14,15,93.3,12,31,43,20,23,14,8,14,33,
NYL,NYL @ DET,08/09/2000,L,40,63,26,57,45.6,3,9,33.3,8,12,66.7,7,11,18,12,9,9,5,16,-3,
MIN,MIN @ HOU,08/09/2000,L,40,64,23,58,39.7,7,22,31.8,11,11,100,11,15,26,14,26,12,1,24,-13,
SEA,SEA @ SAC,08/09/2000,L,40,46,18,55,32.7,4,9,44.4,6,14,42.9,5,10,15,12,23,15,3,11,-33,
DET,DET vs. NYL,08/09/2000,W,40,66,28,50,56.0,1,3,33.3,9,12,75.0,6,20,26,21,15,4,3,20,3,
LAS,LAS @ SEA,08/08/2000,W,45,60,23,56,41.1,2,7,28.6,12,15,80.0,9,32,41,13,20,9,7,18,8,
CHA,CHA vs. MIN,08/08/2000,L,40,67,22,52,42.3,5,15,33.3,18,22,81.8,9,21,30,15,15,3,3,25,-9,
NYL,NYL vs. CLE,08/08/2000,W,40,57,26,62,41.9,2,16,12.5,3,4,75.0,9,21,30,19,9,10,3,14,13,
MIN,MIN @ CHA,08/08/2000,W,40,75,26,54,48.1,6,19,31.6,17,20,85.0,5,20,25,21,9,3,1,19,9,
CLE,CLE @ NYL,08/08/2000,L,40,44,17,50,34.0,4,12,33.3,6,6,100,9,26,35,9,19,3,1,16,-13,
SEA,SEA vs. LAS,08/08/2000,L,45,52,22,66,33.3,2,12,16.7,6,8,75.0,7,23,30,19,14,11,3,14,-8,
WAS,WAS @ ORL,08/07/2000,L,40,57,21,58,36.2,3,7,42.9,12,16,75.0,14,17,31,14,16,9,1,19,-8,
ORL,ORL vs. WAS,08/07/2000,W,40,65,25,58,43.1,4,14,28.6,11,15,73.3,11,18,29,10,14,8,5,15,8,
IND,IND vs. DET,08/07/2000,L,40,63,25,60,41.7,3,11,27.3,10,13,76.9,12,20,32,14,17,11,5,15,-11,
PHO,PHO vs. HOU,08/07/2000,L,40,54,20,64,31.3,2,17,11.8,12,17,70.6,10,15,25,12,10,8,1,14,-17,
UTA,UTA vs. POR,08/07/2000,W,40,83,24,51,47.1,6,8,75.0,29,40,72.5,7,23,30,18,19,6,7,23,10,
DET,DET @ IND,08/07/2000,W,40,74,27,57,47.4,4,6,66.7,16,19,84.2,8,20,28,21,17,9,1,18,11,
POR,POR @ UTA,08/07/2000,L,40,73,27,66,40.9,5,19,26.3,14,20,70.0,11,19,30,17,16,12,6,31,-10,
