Team_left,Match Up_left,Game Date_left,W/L_left,MIN_left,PTS_left,FGM_left,FGA_left,FG%_left,3PM_left,3PA_left,3P%_left,FTM_left,FTA_left,FT%_left,OREB_left,DREB_left,REB_left,AST_left,TOV_left,STL_left,BLK_left,PF_left,+/-_left,winrate 30_left,winrate 6_left,Team_right,Match Up_right,Game Date_right,W/L_right,MIN_right,PTS_right,FGM_right,FGA_right,FG%_right,3PM_right,3PA_right,3P%_right,FTM_right,FTA_right,FT%_right,OREB_right,DREB_right,REB_right,AST_right,TOV_right,STL_right,BLK_right,PF_right,+/-_right,winrate 30_right,winrate 6_right,Result,Location
IND,IND vs. ATL,08/10/2019,W,40,78.4,30.2,69.53333333333333,43.233333333333334,5.5,16.233333333333334,33.1,12.5,15.966666666666667,76.9,8.933333333333334,25.366666666666667,34.3,16.966666666666665,13.466666666666667,6.5,3.933333333333333,18.433333333333334,-1.6,0.4,0.6666666666666666,DAL,DAL @ PHO,08/10/2019,W,40,70.36666666666666,26.233333333333334,69.8,37.4,6.166666666666667,20.933333333333334,29.1,11.733333333333333,14.966666666666667,77.66666666666667,12.666666666666666,24.333333333333332,37.0,15.866666666666667,14.833333333333334,7.633333333333334,4.666666666666667,19.6,-5.633333333333334,0.2,0.16666666666666666,1,1
ATL,ATL @ IND,08/10/2019,L,40,70.13333333333334,25.7,68.96666666666667,36.86666666666667,5.566666666666666,20.5,26.9,13.166666666666666,18.066666666666666,73.96666666666667,10.1,25.366666666666667,35.46666666666667,15.0,14.533333333333333,6.2,5.833333333333333,16.5,-9.266666666666667,0.26666666666666666,0.3333333333333333,PHO,PHO vs. DAL,08/10/2019,L,40,77.66666666666667,28.4,64.13333333333334,43.766666666666666,7.7,20.933333333333334,36.2,13.166666666666666,15.466666666666667,87.5,6.233333333333333,26.133333333333333,32.36666666666667,18.766666666666666,13.6,6.833333333333333,4.533333333333333,17.266666666666666,0.23333333333333334,0.5666666666666667,0.6666666666666666,0,0
CON,CON @ MIN,08/09/2019,L,40,79.4,29.533333333333335,72.66666666666667,40.4,7.4,21.266666666666666,34.43333333333333,12.933333333333334,18.6,70.36666666666666,12.0,27.433333333333334,39.43333333333333,18.0,13.6,7.2,4.6,17.0,4.366666666666666,0.6666666666666666,0.6666666666666666,MIN,MIN vs. CON,08/09/2019,W,40,75.96666666666667,28.633333333333333,66.46666666666667,42.833333333333336,5.766666666666667,18.166666666666668,31.5,12.933333333333334,16.8,78.56666666666666,10.566666666666666,26.433333333333334,37.0,19.233333333333334,17.466666666666665,8.3,3.9,17.133333333333333,4.0,0.6666666666666666,1.0,1,0
LVA,LVA vs. CHI,08/09/2019,L,40,82.73333333333333,30.6,71.23333333333333,42.56666666666667,5.666666666666667,14.866666666666667,37.766666666666666,15.866666666666667,20.466666666666665,76.76666666666667,9.7,29.833333333333332,39.53333333333333,20.666666666666668,14.633333333333333,8.233333333333333,4.833333333333333,17.333333333333332,5.733333333333333,0.6,0.3333333333333333,CHI,CHI @ LVA,08/09/2019,W,40,81.1,31.533333333333335,69.86666666666666,44.8,6.833333333333333,20.1,33.03333333333333,11.2,13.733333333333333,81.86666666666666,7.066666666666666,28.633333333333333,35.7,22.2,16.033333333333335,7.1,4.1,16.7,-1.6,0.5333333333333333,0.5,1,1
DAL,DAL @ SEA,08/08/2019,L,40,70.36666666666666,26.233333333333334,69.8,37.4,6.166666666666667,20.933333333333334,29.1,11.733333333333333,14.966666666666667,77.66666666666667,12.666666666666666,24.333333333333332,37.0,15.866666666666667,14.833333333333334,7.633333333333334,4.666666666666667,19.6,-5.633333333333334,0.2,0.16666666666666666,LAS,LAS vs. PHO,08/08/2019,W,40,76.66666666666667,28.833333333333332,72.6,39.233333333333334,6.833333333333333,19.866666666666667,34.03333333333333,12.166666666666666,14.533333333333333,83.3,9.866666666666667,26.9,36.766666666666666,17.033333333333335,13.633333333333333,8.033333333333333,4.6,18.133333333333333,-0.5,0.5333333333333333,0.3333333333333333,1,0
IND,IND @ WAS,08/08/2019,L,40,78.4,30.2,69.53333333333333,43.233333333333334,5.5,16.233333333333334,33.1,12.5,15.966666666666667,76.9,8.933333333333334,25.366666666666667,34.3,16.966666666666665,13.466666666666667,6.5,3.933333333333333,18.433333333333334,-1.6,0.4,0.6666666666666666,PHO,PHO @ LAS,08/08/2019,L,40,77.66666666666667,28.4,64.13333333333334,43.766666666666666,7.7,20.933333333333334,36.2,13.166666666666666,15.466666666666667,87.5,6.233333333333333,26.133333333333333,32.36666666666667,18.766666666666666,13.6,6.833333333333333,4.533333333333333,17.266666666666666,0.23333333333333334,0.5666666666666667,0.6666666666666666,0,1
WAS,WAS vs. IND,08/08/2019,W,40,84.2,32.06666666666667,70.23333333333333,45.166666666666664,7.9,24.466666666666665,31.233333333333334,12.166666666666666,14.433333333333334,83.06666666666666,8.766666666666667,25.133333333333333,33.9,21.0,11.733333333333333,7.5,5.266666666666667,15.766666666666667,6.8,0.6333333333333333,0.5,SEA,SEA vs. DAL,08/08/2019,W,40,75.0,27.866666666666667,68.03333333333333,40.766666666666666,6.466666666666667,20.833333333333332,30.6,12.8,16.133333333333333,78.93333333333334,9.566666666666666,23.666666666666668,33.233333333333334,17.266666666666666,14.966666666666667,10.033333333333333,3.9,15.466666666666667,1.6,0.5333333333333333,0.5,1,0
CHI,CHI vs. NYL,08/07/2019,W,40,81.1,31.533333333333335,69.86666666666666,44.8,6.833333333333333,20.1,33.03333333333333,11.2,13.733333333333333,81.86666666666666,7.066666666666666,28.633333333333333,35.7,22.2,16.033333333333335,7.1,4.1,16.7,-1.6,0.5333333333333333,0.5,NYL,NYL @ CHI,08/07/2019,L,40,77.73333333333333,27.966666666666665,70.06666666666666,39.63333333333333,6.333333333333333,19.533333333333335,32.666666666666664,15.466666666666667,19.8,77.9,10.6,25.6,36.2,17.7,15.2,7.5,3.6666666666666665,20.366666666666667,-6.433333333333334,0.26666666666666666,0.0,0,1
MIN,MIN @ ATL,08/06/2019,W,40,75.96666666666667,28.633333333333333,66.46666666666667,42.833333333333336,5.766666666666667,18.166666666666668,31.5,12.933333333333334,16.8,78.56666666666666,10.566666666666666,26.433333333333334,37.0,19.233333333333334,17.466666666666665,8.3,3.9,17.133333333333333,4.0,0.6666666666666666,1.0,ATL,ATL vs. MIN,08/06/2019,L,40,70.13333333333334,25.7,68.96666666666667,36.86666666666667,5.566666666666666,20.5,26.9,13.166666666666666,18.066666666666666,73.96666666666667,10.1,25.366666666666667,35.46666666666667,15.0,14.533333333333333,6.2,5.833333333333333,16.5,-9.266666666666667,0.26666666666666666,0.3333333333333333,0,0
WAS,WAS @ LVA,08/05/2019,W,40,84.2,32.06666666666667,70.23333333333333,45.166666666666664,7.9,24.466666666666665,31.233333333333334,12.166666666666666,14.433333333333334,83.06666666666666,8.766666666666667,25.133333333333333,33.9,21.0,11.733333333333333,7.5,5.266666666666667,15.766666666666667,6.8,0.6333333333333333,0.5,LVA,LVA vs. WAS,08/05/2019,L,40,82.73333333333333,30.6,71.23333333333333,42.56666666666667,5.666666666666667,14.866666666666667,37.766666666666666,15.866666666666667,20.466666666666665,76.76666666666667,9.7,29.833333333333332,39.53333333333333,20.666666666666668,14.633333333333333,8.233333333333333,4.833333333333333,17.333333333333332,5.733333333333333,0.6,0.3333333333333333,0,0
